宫/B 寒/M 月/B 经/M 过/M 少/M 吃/B 什/M 么/M 药/B
膀/B 胱/M 癌/M 患/B 者/M 的/B 饮/B 食/M 护/B 理/M
膀/B 胱/M 癌/M 患/B 者/M 腰/B 疼/M 的/B 原/B 因/M
膏/B 药/M 过/B 敏/M 起/B 水/B 泡/M 用/B 碘/B 伏/M
膜/B 肾/B 病/M 多/B 久/M 会/B 变/B 尿/B 毒/M 症/M
膝/B 关/M 节/M 囊/B 肿/M 手/B 术/M 恢/B 复/M 期/M
膝/B 关/M 节/M 疼/B 痛/M 的/B 鉴/B 别/M 诊/M 断/M
膝/B 关/M 节/M 痛/B 是/B 怎/B 么/M 回/M 事/M 啊/B
膝/B 关/M 节/M 置/B 换/M 发/B 表/M 的/B 论/B 文/M
膝/B 关/M 节/M 置/B 换/M 后/B 膝/B 盖/M 肿/B 胀/M
膝/B 关/M 节/M 置/B 换/M 消/B 肿/M 要/B 多/B 久/M
膝/B 状/B 神/B 经/M 节/M 综/B 合/M 征/M 年/B 龄/M
膝/B 盖/M 上/B 方/M 肌/B 肉/M 按/B 压/M 疼/B 痛/M
膝/B 盖/M 下/B 侧/M 按/B 压/M 疼/B 有/B 肿/B 胀/M
膝/B 盖/M 下/B 方/M 疼/B 是/B 什/M 么/M 原/B 因/M
膝/B 盖/M 会/B 动/B 来/M 动/M 去/M 正/B 常/M 吗/B
膝/B 盖/M 关/B 节/M 疼/M 痛/M 如/B 何/M 缓/B 解/M
膝/B 盖/M 后/B 侧/M 蹲/B 下/M 起/B 来/M 会/B 疼/B
膝/B 盖/M 吹/B 空/B 调/M 酸/B 痛/M 怎/B 么/M 办/M
膝/B 盖/M 扭/B 伤/M 了/B 要/B 多/B 久/M 恢/B 复/M
膝/B 盖/M 有/B 咔/B 嚓/M 声/B 怎/B 么/M 回/M 事/M
膝/B 盖/M 有/B 时/M 候/M 会/B 咯/B 噔/M 一/B 下/B
膝/B 盖/M 有/B 时/M 有/B 用/M 不/B 完/M 的/B 劲/B
膝/B 盖/M 烂/B 了/B 怎/B 么/M 好/B 的/B 快/B 些/B
膝/B 盖/M 痛/B 伸/B 直/M 和/B 弯/B 曲/M 还/B 响/B
膝/B 盖/M 的/B 筋/B 扭/B 伤/M 了/B 怎/B 么/M 办/M
膝/B 盖/M 磕/B 肿/B 破/B 皮/B 了/B 怎/B 么/M 办/M
膝/B 盖/M 积/B 液/M 是/B 怎/B 么/M 形/B 成/M 的/B
膝/B 盖/M 缝/B 针/M 了/B 泡/B 泡/M 脚/B 好/B 吗/B
膝/B 盖/M 跌/B 伤/M 多/B 长/M 时/B 候/M 能/B 好/B
膝/B 盖/M 软/B 骨/M 退/B 化/M 什/B 么/M 意/B 思/M
膝/B 盖/M 韧/B 带/M 撕/B 裂/M 怎/B 么/M 治/B 疗/M
膝/B 盖/M 骨/B 裂/M 能/B 自/B 行/M 愈/B 合/M 吗/B
膨/B 体/M 和/B 硅/B 胶/M 隆/B 鼻/M 的/B 区/B 别/M
臀/B 部/M 化/B 脓/M 感/B 染/M 反/B 复/M 发/M 作/M
臀/B 部/M 发/B 起/B 来/M 是/B 什/M 么/M 原/B 因/M
臀/B 部/M 肌/B 肉/M 注/M 射/M 定/B 位/M 图/B 解/M
自/B 体/M 组/B 织/M 隆/B 鼻/M 注/B 意/M 意/B 项/B
自/B 体/B 脂/M 肪/M 的/B 需/B 要/M 住/B 院/M 吗/B
自/B 己/M 制/B 作/M 的/B 白/B 发/M 染/B 黑/B 发/M
自/B 己/M 在/B 家/M 可/B 以/M 拔/B 血/M 罐/M 吗/B
自/B 己/M 如/B 何/M 在/B 家/M 减/B 肥/M 方/B 法/M
自/B 己/M 熬/B 阿/B 胶/M 怎/B 么/M 会/M 长/B 毛/M
自/B 己/M 说/B 话/M 时/M 耳/B 朵/M 有/B 重/B 音/M
自/B 慰/M 会/B 不/M 会/M 引/B 起/M 肾/B 囊/M 肿/M
自/B 慰/M 后/B 出/B 血/M 鼻/B 涕/M 样/B 弹/B 性/M
自/B 慰/M 器/M 买/B 回/B 来/M 怎/B 么/M 消/B 毒/M
自/B 慰/M 多/B 了/B 会/B 不/M 会/M 来/B 月/B 经/M
自/B 慰/M 多/B 了/B 肚/B 子/M 有/B 刺/B 痛/M 男/B
自/B 慰/M 太/B 多/M 不/B 会/M 来/B 大/B 姨/M 妈/M
自/B 慰/M 完/B 子/B 宫/M 疼/B 怎/B 么/M 回/M 事/M
自/B 然/M 勃/B 起/M 持/B 续/M 多/M 久/M 正/B 常/M
自/B 然/M 流/M 产/M 以/B 后/M 肚/B 子/M 很/B 胀/B
自/B 然/M 流/M 产/M 后/B 可/B 以/M 坐/B 车/M 吗/B
自/B 然/M 流/M 产/M 后/B 月/B 经/M 不/B 规/B 律/M
自/B 然/M 流/M 产/M 后/B 马/B 上/M 又/B 怀/B 孕/M
自/B 然/M 流/M 产/M 没/B 留/B 干/B 净/M 症/B 状/M
自/B 然/M 流/M 产/M 输/B 液/M 什/B 么/M 药/B 好/B
自/B 然/M 流/M 产/M 需/B 要/M 流/B 多/B 久/M 啊/B
自/B 然/M 流/M 产/M 验/B 血/M h/B c/M g/M 是/B 5/B 0/M 0/M 多/B
自/B 然/M 黑/B 的/B 皮/B 肤/M 怎/B 么/M 变/B 白/B
自/B 生/B 免/B 疫/M 性/M 溶/B 血/M 性/M 贫/M 血/M
自/B 身/M 免/M 疫/M 性/M 肝/B 炎/M 会/B 突/B 然/M
自/B 闭/M 症/M 孩/B 子/M 会/B 恋/B 妈/B 妈/M 吗/B
致/B 中/M 和/M 五/B 加/M 皮/M 酒/M 的/B 喝/B 法/B
致/B 密/M 性/B 骨/B 炎/B 真/B 的/B 难/B 治/B 吗/B
臻/B 憩/B 通/B 网/B 上/M 多/B 少/M 钱/B 一/B 盒/M
舌/B 头/M 上/B 一/M 层/M 厚/B 厚/M 的/B 舌/B 苔/M
舌/B 头/M 上/B 有/B 印/B 是/B 怎/B 么/M 回/M 事/M
舌/B 头/M 上/B 有/B 淤/B 血/M 怎/B 么/M 回/M 事/M
舌/B 头/M 上/B 烂/B 了/B 好/B 痛/B 怎/B 么/M 办/M
舌/B 头/M 上/B 红/B 疙/M 瘩/M 很/B 硬/B 很/B 疼/B
舌/B 头/M 上/B 长/B 了/B 个/B 白/B 色/M 的/B 泡/B
舌/B 头/M 中/B 间/M 裂/B 缝/M 怎/B 么/M 回/M 事/M
舌/B 头/M 前/B 半/B 部/B 分/M 没/B 有/M 味/B 觉/M
舌/B 头/M 发/B 白/B 吃/B 什/M 么/M 好/B 的/B 快/B
舌/B 头/M 易/B 出/B 血/M 是/B 什/M 么/M 原/B 因/M
舌/B 头/M 最/B 里/B 面/M 靠/B 近/M 喉/B 咙/M 疼/B
舌/B 头/M 有/B 硬/B 块/M 痛/B 怎/B 么/M 回/M 事/M
舌/B 头/M 烂/B 算/B 是/M 口/B 腔/M 溃/M 疡/M 吗/B
舌/B 头/M 特/B 别/M 大/B 是/B 怎/B 么/M 回/M 事/M
舌/B 尖/M 有/B 齿/B 印/B 是/B 什/M 么/M 症/B 状/M
舌/B 根/M 下/B 筋/B 正/B 常/M 颜/B 色/M 图/B 片/M
舌/B 根/M 两/B 侧/M 有/B 疙/B 瘩/M 是/B 什/M 么/M
舌/B 系/M 带/M 短/B 的/B 不/B 会/M 吹/B 口/M 哨/M
舌/B 腺/B 囊/B 肿/M 是/B 怎/B 么/M 引/B 起/M 的/B
舌/B 苔/M 厚/M 口/B 舌/M 起/B 疮/B 怎/B 么/M 办/M
舌/B 苔/M 发/B 木/B 发/B 白/B 食/B 欲/M 不/M 振/M
舌/B 苔/M 黄/B 腻/B 最/B 快/B 处/B 理/M 办/M 法/M
舒/B 乐/M 安/M 定/M 的/B 副/B 作/M 用/M 大/B 吗/B
舒/B 张/M 压/M 是/B 低/B 压/M 还/B 是/M 高/B 压/M
舒/B 摩/M 儿/M 强/B 力/M 抗/B 菌/M 喷/B 雾/M 剂/M
舒/B 暖/B 管/B 堵/B 塞/M 疼/B 痛/M 怎/B 么/M 办/M
舒/B 服/M 贴/B 膏/B 多/B 大/M 孩/B 子/M 能/B 用/B
舒/B 泌/M 通/M 片/B 能/B 治/B 支/B 原/M 体/M 吗/B
舒/B 筋/M 洗/B 外/B 用/B 颗/B 粒/M 的/B 用/B 法/M
舒/B 肝/M 合/B 胃/B 丸/B 多/B 少/M 钱/B 一/B 盒/M
舒/B 肤/M 佳/M 属/B 于/M 中/B 性/M 肥/B 皂/M 吗/B
舒/B 肤/M 止/B 痒/M 酊/B 蜇/B 痛/B 怎/B 么/M 办/M
舞/B 钢/M 市/M 人/B 民/M 医/M 院/M 妇/B 产/M 科/M
良/B 性/M 肝/B 脏/M 肿/B 瘤/M 能/B 治/B 好/B 吗/B
良/B 性/M 肿/M 瘤/M 弄/B 破/M 了/B 会/B 怎/B 样/M
良/B 性/M 肿/M 瘤/M 病/B 理/M 怎/B 么/M 称/B 呼/M
艾/B 丽/M 斯/M 妇/B 科/M 医/B 院/M 正/B 规/M 吗/B
艾/B 叶/M 水/B 可/B 以/M 冲/B 洗/M 阴/B 道/M 吗/B
艾/B 叶/M 泡/B 脚/M 会/B 把/B 脚/B 泡/B 伤/B 吗/B
艾/B 叶/M 泡/B 脚/M 后/B 排/M 湿/B 的/B 反/B 应/M
艾/B 叶/M 泡/B 脚/M 失/B 眠/M 可/B 以/M 泡/B 吗/B
艾/B 叶/M 蒸/B 鸡/B 蛋/M 作/B 用/M 与/B 功/B 效/M
艾/B 司/M 唑/M 仑/M 片/M 和/B 舒/B 乐/M 安/M 定/M
艾/B 慕/B 丽/M 集/B 团/M 酵/B 素/M 洛/B 神/M 花/M
艾/B 斯/M 挫/B 仑/B 片/B 的/B 安/B 全/M 计/B 量/M
艾/B 洛/M 松/M 有/B 几/B 个/M 生/B 产/M 厂/M 家/M
艾/B 滋/M 三/B 个/M 月/M 绝/B 对/M 排/B 除/M 率/B
艾/B 滋/M 发/B 病/M 期/B 可/B 以/M 吃/B 中/B 药/M
艾/B 滋/M 多/B 长/M 时/M 间/M 检/B 测/M 出/B 来/M
艾/B 滋/M 病/M 一/B 般/M 多/B 久/M 能/B 查/B 出/M
艾/B 滋/M 病/M 为/B 什/M 么/M 越/B 来/M 越/M 瘦/B
艾/B 滋/M 病/M 会/B 传/M 染/M 给/B 胎/B 儿/M 吗/B
艾/B 滋/M 病/M 会/B 只/B 发/B 烧/M 一/B 天/M 吗/B
艾/B 滋/M 病/M 体/B 液/M 多/B 少/M 能/B 传/B 染/M
艾/B 滋/M 病/M 初/B 期/M 症/B 状/M 关/B 节/M 疼/B
艾/B 滋/M 病/M 前/B 几/M 天/M 症/B 状/M 表/B 现/M
艾/B 滋/M 病/M 口/B 交/M 会/B 不/M 会/M 传/B 播/M
艾/B 滋/M 病/M 多/B 少/M 周/B 可/B 以/M 排/B 除/M
艾/B 滋/M 病/M 家/B 人/M 应/B 注/B 意/M 什/B 么/M
艾/B 滋/M 病/M 是/B 由/B 马/B 辛/M 米/B 病/B 毒/M
艾/B 滋/M 病/M 晚/B 期/M 有/B 什/B 么/M 症/B 状/M
艾/B 滋/M 病/M 有/B 无/M 潜/B 伏/M 性/B 感/B 染/M
艾/B 滋/M 病/M 检/B 查/M 报/B 告/M 怎/B 么/M 看/M
艾/B 滋/M 病/M 的/B 阴/B 茎/M 症/B 状/M 图/B 片/M
艾/B 滋/M 病/M 皮/B 疹/M 会/B 疼/B 会/B 痒/B 吗/B
艾/B 滋/M 病/M 窗/B 口/M 期/M 头/B 疼/M 症/B 状/M
艾/B 滋/M 病/M 者/B 如/B 何/M 过/B 性/M 生/M 活/M
艾/B 滋/M 病/M 肺/B 部/M 感/M 染/M 能/B 好/B 吗/B
艾/B 滋/M 病/M 能/B 不/M 能/M 做/B 双/B 眼/M 皮/M
艾/B 滋/M 病/M 误/B 诊/M 的/B 几/B 率/M 大/B 吗/B
艾/B 滋/M 病/M 通/B 过/M 汗/B 液/M 传/B 播/M 么/B
艾/B 灸/M 可/B 以/M 直/M 接/M 灸/B 膝/B 盖/M 吗/B
艾/B 灸/M 后/B 起/B 红/B 疹/M 怎/B 么/M 解/B 决/M
艾/B 灸/M 哪/B 个/M 穴/B 位/M 能/B 去/B 寒/B 湿/M
艾/B 灸/M 哪/B 些/M 部/B 位/M 能/B 身/B 体/M 好/B
艾/B 灸/M 宫/B 寒/M 灸/B 哪/B 里/M 图/B 图/B 片/M
艾/B 灸/M 对/B 小/B 叶/M 增/M 生/M 有/B 用/M 吗/B
艾/B 灸/M 怎/B 么/M 会/M 灸/B 出/B 泡/B 来/B 呢/B
艾/B 灸/M 治/B 疗/M 糖/B 尿/M 病/M 有/B 奇/M 效/M
艾/B 灸/M 熏/B 阴/B 部/M 有/B 什/B 么/M 好/B 处/M
艾/B 灸/M 的/B 部/B 位/M 有/B 哪/B 些/M 地/B 方/M
艾/B 灸/M 肚/B 脐/M 后/B 为/B 啥/B 总/B 放/B 屁/M
艾/B 灸/M 能/B 促/B 进/M 内/B 膜/M 增/B 长/M 吗/B
艾/B 炙/B 下/B 肚/B 脐/M 疼/B 怎/B 么/M 回/M 事/M
艾/B 炙/B 后/B 背/M 出/B 红/B 点/M 咋/B 回/M 事/M
节/B 育/M 环/M 什/B 么/M 时/M 候/M 放/B 合/B 适/M
节/B 育/M 环/M 引/B 起/M 出/B 血/M 怎/B 么/M 办/M
节/B 食/M 减/B 肥/M 法/M 最/B 快/B 的/B 方/B 法/M
芒/B 果/M 可/B 以/M 和/B 番/B 泻/M 叶/M 吃/B 不/B
芒/B 果/M 吃/B 多/B 了/B 会/B 不/M 会/M 长/B 胖/B
芒/B 果/M 和/B 鸡/B 肉/M 可/B 以/M 同/B 食/B 吗/B
芒/B 果/M 没/B 有/M 成/B 熟/M 可/B 以/M 吃/B 吗/B
芒/B 果/M 里/B 面/M 有/B 黑/B 色/M 的/B 东/B 西/M
芜/B 湖/M 五/B 院/M 妇/B 产/M 科/M 怎/B 么/M 样/M
芜/B 湖/M 哪/B 家/B 医/B 院/M 治/B 牙/B 疼/M 好/B
芜/B 湖/M 泌/B 尿/M 科/M 哪/B 个/M 医/B 院/M 好/B
芝/B 麻/M 与/B 蜂/B 蜜/M 可/B 同/B 时/M 吃/B 吗/B
芝/B 麻/M 油/M 煎/B 鸡/M 蛋/M 治/B 咳/B 嗽/M 吗/B
芦/B 荟/M 保/B 健/M 品/M 多/B 少/M 钱/B 一/M 瓶/B
芦/B 荟/M 纤/B 维/M 的/B 作/B 用/M 是/B 什/M 么/M
芦/B 荟/M 胶/M 敷/B 脸/M 有/B 什/B 么/M 好/B 处/M
芦/B 荟/M 胶/M 直/B 接/M 抹/B 伤/B 口/M 上/B 吗/B
芦/B 荟/M 蜜/B 的/B 功/B 效/M 与/B 作/B 用/M 点/M
芪/B 芳/B 气/B 血/M 颗/B 粒/M 会/B 上/B 火/M 吗/B
芬/B 吗/B 通/B 需/B 要/M 吃/B 几/B 个/M 疗/B 程/M
芬/B 马/B 通/M 怀/B 孕/M 了/B 还/B 能/M 吃/B 吗/B
芭/B 比/M 娃/M 娃/M 品/B 质/M 检/B 验/M 标/B 准/M
芭/B 蕉/M 根/B 炖/B 肉/M 有/B 什/B 么/M 功/B 效/M
花/B 椒/M 水/B 治/B 那/B 些/M 妇/B 科/M 炎/M 症/M
花/B 椒/M 生/B 姜/M 泡/B 酒/M 能/B 治/B 什/B 么/M
花/B 溪/M 大/B 学/M 城/M 有/B 什/B 么/M 医/B 院/M
花/B 生/M 会/B 导/M 致/M 伤/B 口/M 发/B 炎/M 妈/B
花/B 生/M 和/B 梨/B 可/B 以/M 一/B 起/M 吃/B 吗/B
花/B 生/M 壳/B 卡/B 嗓/B 子/M 里/B 怎/B 么/M 办/M
花/B 生/M 红/B 枣/M 粥/M 有/B 什/B 么/M 好/B 处/M
花/B 红/M 逍/B 遥/M 丸/M 功/B 效/M 与/B 作/B 用/M
花/B 青/M 素/M 与/B 虾/B 青/B 素/B 的/B 区/B 别/M
芹/B 菜/M 番/B 茄/M 可/B 以/M 一/B 起/M 吃/B 吗/B
苍/B 南/M 人/B 民/M 医/M 院/M 几/B 点/M 上/B 班/M
苍/B 菊/B 饮/B 汤/B 头/M 有/B 哪/B 几/B 位/B 药/B
苍/B 蝇/M 粉/M 吃/B 多/B 少/M 克/B 有/B 反/B 应/M
苏/B 北/M 医/B 院/M 专/B 家/M 预/B 约/M 电/M 话/M
苏/B 大/M 附/B 一/B 院/M 肖/B 灿/M 乱/B 收/M 费/M
苏/B 大/M 附/B 属/M 一/B 院/M 眼/B 科/M 专/M 家/M
苏/B 州/M 1/B 0/M 0/M 解/B 放/M 军/M 医/B 院/M 官/B 网/M
苏/B 州/M 专/B 业/M 治/B 不/B 育/M 的/B 医/B 院/M
苏/B 州/M 中/B 医/M 院/M 拔/B 火/M 罐/M 周/B 日/M
苏/B 州/M 协/B 和/M 皮/B 肤/M 病/M 研/B 究/M 所/M
苏/B 州/M 妇/B 幼/M 保/M 健/M 院/M 儿/B 保/M 科/B
苏/B 州/M 市/M 立/M 医/M 院/M 建/B 卡/M 攻/B 略/M
苏/B 州/M 常/B 熟/M 第/B 一/B 人/B 民/M 医/M 院/M
苏/B 州/M 瑞/B 兴/M 体/B 检/M 几/B 点/M 下/B 班/M
苏/B 州/M 附/B 二/B 医/B 院/M 四/B 维/M 彩/M 超/M
苏/B 州/M 附/B 属/M 第/B 一/M 医/M 院/M 妇/B 科/M
苏/B 金/M 国/B 内/M 什/B 么/M 时/B 间/M 上/B 市/M
苜/B 蓿/M 草/M 湿/B 疹/M 病/B 人/M 能/B 吃/B 吗/B
苟/B 岂/B 泡/B 水/M 喝/B 有/B 什/B 么/M 作/B 用/M
苦/B 丁/M 茶/M 对/B 肝/B 贤/B 有/B 影/B 响/M 吗/B
苦/B 参/M 凝/B 胶/M 的/B 药/B 效/M 是/B 多/B 久/M
苦/B 姑/B 娘/M 果/B 的/B 功/B 效/M 与/B 作/B 用/M
苦/B 芪/B 参/B 郁/B 金/M 香/M 拮/B 糖/B 胶/B 囊/M
苯/B 丙/M 酮/M 尿/M 症/M 会/B 不/M 会/M 误/B 诊/M
苯/B 扎/M 溴/M 铵/M 溶/B 液/M 能/B 延/B 时/M 吗/B
英/B 吉/M 利/M 乳/B 钙/M 和/B 亲/M 能/B 乳/B 钙/M
英/B 普/B 朗/M 特/M 隆/B 鼻/M 会/B 透/B 光/M 吗/B
英/B 特/M 药/B 谷/M 流/B 向/M 查/B 询/M 系/M 统/M
苹/B 果/M 和/B 芝/B 麻/M 能/B 一/B 起/M 吃/B 吗/B
苹/B 果/M 太/B 多/M 吃/B 不/B 完/M 怎/B 么/M 办/M
范/B 志/M 红/M 微/B 博/M 谈/B 失/B 眠/M 咋/B 办/M
茄/B 子/M 的/B 营/B 养/M 价/M 值/M 是/B 什/M 么/M
茭/B 白/M 痛/B 风/M 的/B 人/B 可/B 以/M 吃/B 吗/B
茯/B 苓/M 红/B 枣/M 阿/B 胶/M 粉/B 的/B 功/B 效/M
茯/B 苓/M 黑/B 豆/M 葛/B 根/M 核/B 桃/M 芝/B 麻/M
茵/B 栀/M 黄/M 颗/M 粒/M 被/B 禁/B 用/M 了/B 吗/B
茶/B 叶/M 对/B 钙/B 吸/B 收/M 有/B 影/B 响/M 吗/B
茶/B 叶/M 放/B 多/B 了/B 有/B 什/B 么/M 坏/B 处/M
茶/B 叶/M 枸/B 杞/M 菊/B 花/M 能/B 一/B 起/M 泡/B
茶/B 叶/M 水/B 早/B 上/M 可/B 以/M 洗/B 脸/M 吗/B
茶/B 叶/M 能/B 治/B 疗/M 神/B 经/M 衰/M 弱/M 吗/B
茶/B 树/M 精/M 油/M 能/B 治/B 妇/B 科/M 病/M 吗/B
茶/B 色/M 素/M 能/B 治/B 疗/M 帕/B 金/M 森/M 吗/B
草/B 珊/M 瑚/M 和/B 西/B 瓜/M 霜/M 混/B 合/M 吃/B
草/B 绿/M 色/M 溶/B 血/M 环/B 肺/B 炎/M 球/M 菌/M
荣/B 华/M 大/B 药/M 房/M 的/B 药/B 正/B 品/M 嘛/B
荣/B 生/M 堂/M 拔/B 罐/M 减/B 肥/M 怎/B 么/M 样/M
荨/B 麻/M 疹/M 发/B 作/M 时/M 怎/B 么/M 缓/B 解/M
荨/B 麻/M 疹/M 快/B 速/M 用/B 热/B 水/M 洗/B 澡/M
荨/B 麻/M 疹/M 恢/B 复/M 期/M 可/B 以/M 吃/B 鱼/B
荨/B 麻/M 疹/M 的/B 人/B 可/B 以/M 红/B 参/M 吗/B
荨/B 麻/M 疹/M 血/B 管/M 炎/M 能/B 怀/B 孕/M 吗/B
药/B 含/B 激/B 素/M 有/B 什/B 么/M 副/B 作/M 用/M
药/B 店/M 买/B 的/B 到/B 春/B 药/M 吗/B 男/B 性/M
药/B 店/M 是/B 否/M 有/B 卖/B 海/B 萃/B 人/B 参/M
药/B 店/M 有/B 卖/B 和/B 风/M 记/B 足/B 贴/M 吗/B
药/B 店/M 有/B 没/M 有/M 卖/B 验/B 孕/M 棒/M 的/B
药/B 店/M 有/B 没/M 有/M 纯/B 草/B 药/M 喷/B 剂/M
药/B 店/M 能/B 买/B 到/M 什/B 么/M 药/B 致/B 死/M
药/B 是/B 饭/B 前/M 吃/B 还/B 是/M 饭/B 后/M 吃/B
药/B 材/M 白/B 术/M 是/B 治/B 什/B 么/M 病/B 的/B
药/B 水/M 点/B 斑/B 后/B 红/B 印/B 怎/B 么/M 办/M
药/B 流/M 一/B 个/M 星/M 期/M 了/B 还/B 流/B 血/M
药/B 流/M 一/B 个/M 月/M 后/B 会/B 怀/B 孕/M 吗/B
药/B 流/M 会/B 引/M 起/M 卵/B 巢/M 囊/M 肿/M 吗/B
药/B 流/M 内/B 分/M 泌/M 失/M 调/M 多/B 久/M 好/B
药/B 流/M 十/B 天/M 有/B 黄/B 色/M 分/B 泌/M 物/M
药/B 流/M 半/B 月/M 后/B 出/B 血/M 肚/B 子/M 大/B
药/B 流/M 可/B 以/M 喝/B 桂/B 圆/M 煲/B 汤/M 吗/B
药/B 流/M 吃/B 完/B 药/B 后/B 应/B 躺/B 着/M 吗/B
药/B 流/M 吃/B 药/M 后/B 为/B 什/M 么/M 会/B 哭/B
药/B 流/M 吃/B 药/M 当/B 天/M 剧/B 烈/M 疼/B 痛/M
药/B 流/M 后/B 一/B 般/M 多/B 久/M 流/B 干/B 净/M
药/B 流/M 后/B 为/B 什/M 么/M 会/B 有/B 血/B 块/M
药/B 流/M 后/B 二/B 十/M 天/B 能/B 自/B 慰/M 吗/B
药/B 流/M 后/B 八/B 天/B 可/B 以/M 洗/B 澡/M 吗/B
药/B 流/M 后/B 多/B 久/M 可/B 以/M 吃/B 辣/B 的/B
药/B 流/M 后/B 怎/B 么/M 促/B 进/M 流/B 干/B 净/M
药/B 流/M 后/B 打/B 收/B 缩/M 针/B 肚/B 子/M 疼/M
药/B 流/M 后/B 有/B 残/B 留/M 物/B 吃/B 米/B 索/M
药/B 流/M 后/B 注/B 意/M 事/M 项/M 和/B 饮/B 食/M
药/B 流/M 后/B 肚/B 子/M 胀/B 气/M 老/B 放/B 屁/M
药/B 流/M 后/B 能/B 吃/B 鸭/B 血/M 粉/M 丝/M 吗/B
药/B 流/M 后/B 需/B 要/M 天/B 天/M 躺/B 着/M 吗/B
药/B 流/M 子/B 宫/M 内/M 膜/M 能/B 排/B 出/M 吗/B
药/B 流/M 打/B 胎/M 后/B 要/B 注/B 意/M 什/B 么/M
药/B 流/M 排/B 出/M 胎/B 囊/B 会/B 干/B 净/M 吗/B
药/B 流/M 期/B 间/M 可/B 以/M 吃/B 叶/B 酸/M 吗/B
药/B 流/M 清/B 宫/M 后/B 一/B 直/M 有/B 黄/B 色/M
药/B 流/M 第/B 三/M 天/M 肚/B 子/M 有/B 点/M 疼/B
药/B 流/M 第/B 二/M 天/M 可/B 以/M 自/B 慰/M 吗/B
药/B 流/M 要/B 休/B 息/M 多/B 少/M 天/B 合/B 适/M
药/B 片/M 和/B 牛/B 奶/M 能/B 一/B 起/M 吃/B 吗/B
药/B 物/M 会/B 影/B 响/M 基/B 础/M 体/M 温/M 吗/B
药/B 物/M 流/M 产/M 后/B 第/B 二/M 天/M 腰/B 疼/M
药/B 物/M 流/M 产/M 多/B 久/M 可/B 以/M 出/B 门/M
药/B 物/M 的/B 主/B 要/M 用/M 途/M 有/B 哪/B 些/M
药/B 物/M 过/M 敏/M 可/B 以/M 请/B 病/B 假/M 吗/B
药/B 疹/M 引/B 起/M 便/B 秘/M 如/B 何/M 治/B 疗/M
药/B 药/B 流/B 产/M 多/B 久/M 可/B 以/M 同/B 房/M
药/B 酒/M 的/B 中/B 药/M 要/B 怎/B 么/M 处/B 理/M
荷/B 叶/M 和/B 柠/B 檬/M 可/B 以/M 减/B 肥/M 吗/B
荷/B 叶/M 山/B 楂/M 决/B 明/M 子/M 火/B 麻/M 仁/M
荷/B 叶/M 山/B 楂/M 柠/B 檬/M 能/B 减/B 肥/M 吗/B
莆/B 田/M 市/M 羊/B 水/M 穿/B 刺/M 多/B 少/M 钱/B
莫/B 西/M 沙/B 星/M 为/B 什/M 么/M 那/B 么/M 贵/B
莲/B 藕/M 的/B 季/B 节/M 用/B 途/M 和/B 吃/B 法/M
菊/B 花/M 和/B 红/B 糖/M 能/B 一/B 起/M 喝/B 吗/B
菊/B 花/M 水/B 喝/B 多/B 了/B 会/B 怎/B 么/M 样/M
菏/B 叶/B 和/B 山/B 楂/M 泡/B 水/M 的/B 作/B 用/M
菏/B 泽/M 哪/B 里/M 有/B 治/B 疗/M 胃/B 癌/M 的/B
菏/B 泽/M 建/B 生/B 医/B 院/M 妇/B 科/M 专/M 家/M
菠/B 萝/M 吃/B 了/B 舌/B 头/M 麻/B 怎/B 么/M 办/M
萌/B 到/B 孕/B 妇/M 给/B 自/B 己/M 送/B 东/B 西/M
萎/B 缩/M 性/M 胃/M 炎/M 能/B 吃/B 芒/B 果/M 吗/B
萎/B 缩/M 性/M 鼻/M 炎/M 鼻/B 子/M 会/B 肿/B 吗/B
萝/B 卜/M 加/B 什/B 么/M 可/B 以/M 治/B 便/B 秘/M
萝/B 卜/M 籽/B 能/B 直/B 接/M 泡/B 水/M 喝/B 吗/B
营/B 养/M 不/M 良/M 导/B 致/M 膀/B 胱/M 结/M 石/M
营/B 养/M 跟/B 不/B 上/B 有/B 什/B 么/M 症/B 状/M
萧/B 山/M 中/B 医/M 院/M 口/B 腔/M 科/M 洗/B 牙/M
落/B 枕/M 会/B 不/M 会/M 有/B 咔/B 嚓/M 响/B 声/M
葆/B 苾/M 康/M 茶/B 蓟/B 椰/B 橄/B 片/B 功/B 效/M
葡/B 萄/M 对/B 癫/B 痫/M 病/M 有/B 啥/M 影/B 响/M
葡/B 萄/M 籽/M 在/B 哪/M 里/M 可/B 以/M 买/B 到/M
葡/B 萄/M 籽/M 胶/B 囊/M 的/B 排/B 毒/M 反/B 应/M
葡/B 萄/M 糖/M 对/B 孕/B 妇/M 有/B 影/B 响/M 吗/B
葡/B 萄/M 糖/M 注/M 射/M 液/M 一/B 次/M 喝/B 多/B
董/B 氏/M 治/B 疗/M 失/M 眠/M 一/B 次/M 见/B 效/M
葱/B 可/B 以/M 治/B 疗/M 子/M 宫/M 肌/M 瘤/M 吗/B
葱/B 白/M 生/B 姜/M 水/B 的/B 功/B 效/M 与/B 作/B
葵/B 花/M 熊/B 胆/M 痔/B 灵/B 膏/B 怎/B 么/M 用/B
葵/B 花/M 牌/M 治/B 盆/B 腔/M 炎/M 的/B 栓/B 剂/M
葵/B 花/M 胃/B 康/M 灵/M 孕/B 妇/M 能/B 吃/B 吗/B
